Join_cols	RN_RUNX1_c	RN_RUNX1_g	RN_SRSF2	RN_TET2a
AS-197_G4_CD34	584	317	209	797
AS-197_G6_CD34	1113	886	555	207
AS-197_G8_CD34	1118	294	245	627
AS-197_G9_CD34	2355	438	400	159
AS-197_H12_CD34	3155	711	620	545
AS-197_H13_CD34	2193	965	214	711
AS-197_H16_CD34	1815	569	436	519
AS-197_H17_CD34	2271	783	236	542
AS-197_H18_CD34	4900	1306	911	184
AS-197_H19_CD34	2193	734	316	266
AS-197_H20_CD34	1597	1882	425	103
AS-197_H22_CD34	3224	287	368	119
AS-197_H3_CD34	434	440	101	673
AS-197_H6_CD34	1409	1277	184	455
AS-197_H8_CD34	2225	656	347	779
AS-197_H9_CD34	1975	764	314	415
AS-197_I12_CD34	2412	941	448	637
AS-197_I13_CD34	1807	1020	647	686
AS-197_I16_CD34	1131	882	485	542
AS-197_I17_CD34	2111	602	476	466
AS-197_I18_CD34	2003	652	447	1951
AS-197_I19_CD34	1534	1011	249	110
AS-197_I20_CD34	3512	473	671	1069
AS-197_I22_CD34	1170	878	612	124
AS-197_I23_CD34	458	1217	115	125
AS-197_I4_CD34	670	915	129	230
AS-197_I6_CD34	2541	1271	277	132
AS-197_I8_CD34	2902	1314	451	147
AS-197_I9_CD34	1952	589	615	249
AS-197_J12_CD34	1523	1386	257	107
AS-197_J13_CD34	2369	428	403	1103
AS-197_J16_CD34	1408	496	498	228
AS-197_J17_CD34	2949	458	315	252
AS-197_J18_CD34	2965	1116	952	132
AS-197_J9_CD34	1120	862	260	363
AS-197_K12_CD34	1731	630	284	116
AS-197_K13_CD34	1679	1191	260	750
AS-197_K17_CD34	2640	861	104	899
AS-197_K18_CD34	2469	1289	219	378
AS-197_K19_CD34	4706	313	274	117
AS-197_K20_CD34	1755	755	353	113
AS-197_K21_CD34	546	321	100	322
AS-197_K2_CD34	908	600	119	154
AS-197_K3_CD34	706	202	144	245
AS-197_K4_CD34	926	256	130	623
AS-197_K6_CD34	1625	582	235	109
AS-197_K9_CD34	817	319	195	117
AS-197_L12_CD34	1272	1154	698	346
AS-197_L13_CD34	1650	745	352	142
AS-197_L17_CD34	963	189	131	235
AS-197_L18_CD34	1872	1209	278	122
AS-197_L19_CD34	1789	945	335	130
AS-197_L2_CD34	993	199	110	355
AS-197_L8_CD34	765	844	137	102
AS-197_L9_CD34	761	1198	238	576
AS-197_M12_CD34	1425	699	204	229
AS-197_M13_CD34	2561	696	601	726
AS-197_M18_CD34	2239	1472	241	119
AS-197_M19_CD34	1022	1458	133	167
AS-197_M2_CD34	543	508	110	425
AS-197_M8_CD34	775	1107	213	184
AS-197_M9_CD34	507	1111	126	130
AS-197_N12_CD34	859	445	106	115
AS-197_N18_CD34	1408	313	185	133
AS-197_N20_CD34	533	259	129	449
AS-197_N6_CD34	1885	638	473	289
AS-197_N9_CD34	683	627	164	681
AS-197_O12_CD34	891	1047	124	104
AS-197_O13_CD34	639	196	112	601
AS-197_O16_CD34	634	314	114	299
AS-197_O18_CD34	653	585	322	115
AS-197_O9_CD34	607	1302	116	117
AS-198_A22_CD34	155	144	120	432
AS-198_B12_CD34	7967	2192	1005	401
AS-198_B13_CD34	3019	1340	334	1125
AS-198_B16_CD34	2868	344	196	113
AS-198_B17_CD34	3796	1371	125	1248
AS-198_B18_CD34	5877	321	314	1774
AS-198_B19_CD34	1429	1970	378	148
AS-198_B20_CD34	3825	2458	504	166
AS-198_B22_CD34	1130	471	156	126
AS-198_B2_CD34	622	252	111	179
AS-198_B4_CD34	1168	1348	122	965
AS-198_B6_CD34	2165	1868	386	805
AS-198_B7_CD34	990	394	209	386
AS-198_B8_CD34	1294	420	140	121
AS-198_B9_CD34	2102	1659	298	121
AS-198_C12_CD34	3903	2104	879	2002
AS-198_C13_CD34	4399	1430	366	1286
AS-198_C16_CD34	3279	1798	782	212
AS-198_C17_CD34	1006	1267	154	849
AS-198_C18_CD34	3480	410	238	924
AS-198_C19_CD34	750	365	103	126
AS-198_C20_CD34	3271	1217	445	264
AS-198_C22_CD34	2351	2521	211	118
AS-198_C2_CD34	605	1714	198	137
AS-198_C6_CD34	955	404	149	511
AS-198_C8_CD34	2680	1813	191	113
AS-198_C9_CD34	6183	1620	781	290
AS-198_D12_CD34	5641	477	1434	1355
AS-198_D13_CD34	4837	1436	865	846
AS-198_D16_CD34	2809	1577	558	109
AS-198_D17_CD34	2053	930	208	842
AS-198_D18_CD34	1589	797	414	926
AS-198_D19_CD34	1311	308	166	175
AS-198_D20_CD34	1042	329	142	844
AS-198_D2_CD34	854	1756	223	146
AS-198_D3_CD34	711	210	207	1128
AS-198_D4_CD34	1882	906	168	549
AS-198_D6_CD34	8176	288	794	896
AS-198_D8_CD34	2446	1740	855	431
AS-198_D9_CD34	3528	1071	548	733
AS-198_E12_CD34	11082	644	1650	241
AS-198_E13_CD34	4314	2446	497	799
AS-198_E16_CD34	3298	1552	966	102
AS-198_E17_CD34	4127	1547	412	1529
AS-198_E18_CD34	3523	1335	335	1278
AS-198_E19_CD34	3044	1364	412	574
AS-198_E20_CD34	1649	435	255	192
AS-198_E22_CD34	1091	2239	762	245
AS-198_E2_CD34	2282	319	1015	2052
AS-198_E4_CD34	2643	927	488	826
AS-198_E6_CD34	1484	465	486	204
AS-198_E8_CD34	6110	478	594	151
AS-198_E9_CD34	1807	1801	201	152
AS-198_F12_CD34	1527	784	1222	314
AS-198_F13_CD34	5514	1921	421	1061
AS-198_F16_CD34	2444	1979	596	120
AS-198_F17_CD34	3936	1929	751	433
AS-198_F19_CD34	6141	354	379	1111
AS-198_F20_CD34	762	345	246	118
AS-198_F2_CD34	1224	259	230	243
AS-198_F3_CD34	1624	143	125	891
AS-198_F4_CD34	2237	744	242	562
AS-198_F6_CD34	2125	1116	326	459
AS-198_F7_CD34	1039	613	110	518
AS-198_G12_CD34	3373	1165	293	208
AS-198_G13_CD34	5751	746	462	1343
AS-198_G18_CD34	1131	257	400	101
AS-198_G19_CD34	1703	1228	314	111
AS-198_G20_CD34	813	336	132	474
AS-198_G2_CD34	1190	1196	642	173
AS-198_G3_CD34	1369	683	204	598
AS-198_G4_CD34	3111	479	148	112
AS-198_G6_CD34	2543	1051	202	902
AS-198_G8_CD34	4787	1167	267	473
AS-198_G9_CD34	4484	1302	462	710
AS-198_H12_CD34	7258	1527	1836	262
AS-198_H13_CD34	5277	937	402	792
AS-198_H16_CD34	1118	267	348	149
AS-198_H17_CD34	1678	256	342	214
AS-198_H18_CD34	4621	423	473	193
AS-198_H19_CD34	7123	446	1158	581
AS-198_H20_CD34	1268	619	244	1489
AS-198_H22_CD34	9016	538	1876	111
AS-198_H2_CD34	874	172	260	159
AS-198_H3_CD34	479	125	130	137
AS-198_H4_CD34	2783	775	695	1604
AS-198_H6_CD34	8197	1086	2041	444
AS-198_H7_CD34	1329	523	223	861
AS-198_H8_CD34	2198	343	274	171
AS-198_H9_CD34	1356	444	251	138
AS-198_I12_CD34	4172	1516	321	1140
