	FSC-A	FSC-W	FSC-H	SSC-A	SSC-W	SSC-H	CD34-PE	Lin-PE-Cy5	CD123-PE-Cy7	CD90-BV421	Zombie	CD45RA-FITC	IL1RAP-APC	CD38-APC-cy7	Time	Well	Plate	Plate_Well	CD34_pos	CD38_pos	CD38_neg	IL1RAP_pos	CD45RA_pos	CD45RA_neg	CD123_pos	CD123_neg	CD90_pos	CD90_neg	lsc	hsc	mpp	lmpp	cmp	gmp	mep	unassigned	celltype
65	145505.7	99205.82	96122.0	56525.64	85097.5	43532.0	719.4	942.85004	1426.81	501.0	1656.0	6257.91	1424.8	5373.6	17240.6	C17	not_seq	not_seq_C17	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
66	138526.2	95767.31	94797.0	52494.93	79153.04	43464.0	409.84003	321.55002	361.88	429.0	3106.0	5758.5303	297.6	3038.4001	17461.5	C18	not_seq	not_seq_C18	True	True	False	False	True	False	False	True	False	True	False	False	False	False	False	False	False	True	unassigned
67	122688.0	96710.14	83140.0	62726.13	82994.88	49531.0	430.55002	377.14	594.05	387.0	2679.0	4772.82	761.60004	7311.2	17657.1	C19	not_seq	not_seq_C19	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
68	146777.39	105891.72	90840.0	53236.17	87309.45	39960.0	903.61005	1093.27	890.53	576.0	448.0	8517.3	1496.0	4912.8003	17887.2	C20	not_seq	not_seq_C20	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
69	127019.695	93368.51	89156.0	38341.77	84701.89	29666.0	535.19	967.92004	727.03	164.0	2491.0	3752.31	759.2	2830.4001	18102.0	C21	not_seq	not_seq_C21	True	False	True	False	True	False	True	False	False	True	False	False	False	True	False	False	False	False	LMPP
70	153538.2	113954.31	88301.0	33546.332	101131.266	21739.0	977.73004	391.31	654.0	319.0	1991.0	214.02	819.2	8036.0	18304.7	C22	not_seq	not_seq_C22	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
71	122895.0	92561.43	87013.0	58028.13	77885.83	48827.0	612.58	568.98004	667.08	12.0	2569.0	945.69	812.8	2699.2	18520.5	C23	not_seq	not_seq_C23	True	False	True	False	False	True	True	False	False	True	False	False	True	False	False	False	False	False	MPP
72	144228.6	113700.68	83132.0	39558.9	101215.43	25614.0	664.9	370.6	825.13	402.0	1700.0	260.13	1332.8	9856.8	18746.8	C24	not_seq	not_seq_C24	True	True	False	True	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
73	163635.3	106116.26	101059.0	55579.95	87806.76	41483.0	665.99	1302.55	1395.2001	451.0	5955.0	8358.96	1253.6	6891.2	19016.2	D24	not_seq	not_seq_D24	True	True	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
74	147711.6	100656.38	96173.0	55898.37	81397.05	45006.0	594.05	1013.7	597.32	876.0	5359.0	10932.42	1673.6	4136.0	19253.1	D23	not_seq	not_seq_D23	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
75	138919.5	102923.805	88456.0	59195.67	84687.45	45809.0	528.65	1257.86	513.39	545.0	3129.0	8048.37	934.4	5730.4	19494.6	D22	not_seq	not_seq_D22	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
76	61360.2	87114.7	46161.0	58027.26	77763.625	48903.0	798.97003	327.0	767.36005	310.0	2508.0	4757.16	955.2	4772.8003	19681.5	D21	not_seq	not_seq_D21	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
