	Plate_Well	celltype
886	not_seq_NE3_F23	NE
887	not_seq_NE3_F22	NE
888	not_seq_NE3_F21	NE
889	not_seq_NE3_F20	NE
890	not_seq_NE3_F19	NE
891	not_seq_NE3_F18	NE
892	not_seq_NE3_F17	NE
893	not_seq_NE3_F16	NE
894	not_seq_NE3_F15	NE
895	not_seq_NE3_F14	NE
896	not_seq_NE3_F13	NE
897	not_seq_NE3_F12	NE
898	not_seq_NE3_F11	NE
899	not_seq_NE3_F10	NE
900	not_seq_NE3_F9	NE
901	not_seq_NE3_F8	NE
902	not_seq_NE3_F7	NE
903	not_seq_NE3_G7	NE
904	not_seq_NE3_G6	NE
905	not_seq_NE3_G5	NE
906	not_seq_NE3_G4	NE
907	not_seq_NE3_G3	NE
